name;height;mass;hair_color;skin_color;eye_color;birth_year;gender;homeworld;species
Luke Skywalker;172;77;blond;fair;blue;19 BBY;male;Tatooine;Human
C-3PO;167;75;;gold;yellow;112 BBY;;Tatooine;Droid
R2-D2;96;32;;white_blue;red;33 BBY;;Naboo;Droid
Darth Vader;202;136;;white;yellow;41.9 BBY;male;Tatooine;Human
Leia Organa;150;49;brown;light;brown;19 BBY;female;Alderaan;Human
Owen Lars;178;120;brown_grey;light;blue;52 BBY;male;Tatooine;Human
Beru Whitesun lars;165;75;brown;light;blue;47 BBY;female;Tatooine;Human
R5-D4;97;32;;white_red;red;;;Tatooine;Droid
Biggs Darklighter;183;84;black;light;brown;24 BBY;male;Tatooine;Human
Obi-Wan Kenobi;182;77;auburn_white;fair;blue-gray;57 BBY;male;Stewjon;Human
Anakin Skywalker;188;84;blond;fair;blue;41.9 BBY;male;Tatooine;Human
Wilhuff Tarkin;180;;auburn_ grey;fair;blue;64 BBY;male;Eriadu;Human
Chewbacca;228;112;brown;;blue;200 BBY;male;Kashyyyk;Wookiee
Han Solo;180;80;brown;fair;brown;29 BBY;male;Corellia;Human
Greedo;173;74;;green;black;44 BBY;male;Rodia;Rodian
Jabba Desilijic Tiure;175;1.358;;green-tan_brown;orange;600 BBY;hermaphrodite;Nal Hutta;Hutt
Wedge Antilles;170;77;brown;fair;hazel;21 BBY;male;Corellia;Human
Jek Tono Porkins;180;110;brown;fair;blue;;male;Bestine_IV;Human
Yoda;66;17;white;green;brown;896 BBY;male;;Yodas_species
Palpatine;170;75;grey;pale;yellow;82 BBY;male;Naboo;Human
Boba Fett;183;78.2;black;fair;brown;31.5 BBY;male;Kamino;Human
IG-88;200;140;;metal;red;15 BBY;;;Droid
Bossk;190;113;;green;red;53 BBY;male;Trandosha;Trandoshan
Lando Calrissian;177;79;black;dark;brown;31 BBY;male;Socorro;Human
Lobot;175;79;;light;blue;37 BBY;male;Bespin;Human
Ackbar;180;83;;brown mottle;orange;41 BBY;male;Mon Cala;Mon Calamari
Mon Mothma;150;;auburn;fair;blue;48 BBY;female;Chandrila;Human
Arvel Crynyd;;;brown;fair;brown;;male;;Human
Wicket Systri Warrick;88;20;brown;brown;brown;8 BBY;male;Endor;Ewok
Nien Nunb;160;68;;grey;black;;male;Sullust;Sullustan
Qui-Gon Jinn;193;89;brown;fair;blue;92 BBY;male;;Human
Nute Gunray;191;90;;mottled_green;red;;male;Cato Neimoidia;Neimodian
Finis Valorum;170;;blond;fair;blue;91 BBY;male;Coruscant;Human
Jar Jar Binks;196;66;;orange;orange;52 BBY;male;Naboo;Gungan
Roos Tarpals;224;82;;grey;orange;;male;Naboo;Gungan
Rugor Nass;206;;;green;orange;;male;Naboo;Gungan
Ric Olié;183;;brown;fair;blue;;male;Naboo;
Watto;137;;black;blue_grey;yellow;;male;Toydaria;Toydarian
Sebulba;112;40;;grey_red;orange;;male;Malastare;Dug
Quarsh Panaka;183;;black;dark;brown;62 BBY;male;Naboo;
Shmi Skywalker;163;;black;fair;brown;72 BBY;female;Tatooine;Human
Darth Maul;175;80;;red;yellow;54 BBY;male;Dathomir;Zabrak
Bib Fortuna;180;;;pale;pink;;male;Ryloth;Twi_lek
Ayla Secura;178;55;;blue;hazel;48 BBY;female;Ryloth;Twi_lek
Dud Bolt;94;45;;blue_grey;yellow;;male;Vulpter;Vulptereen
Gasgano;122;;;white_blue;black;;male;Troiken;Xexto
Ben Quadinaros;163;65;;grey_green_yellow;orange;;male;Tund;Toong
Mace Windu;188;84;;dark;brown;72 BBY;male;Haruun Kal;Human
Ki-Adi-Mundi;198;82;white;pale;yellow;92 BBY;male;Cerea;Cerean
Kit Fisto;196;87;;green;black;;male;Glee Anselm;Nautolan
Eeth Koth;171;;black;brown;brown;;male;Iridonia;Zabrak
Adi Gallia;184;50;;dark;blue;;female;Coruscant;Tholothian
Saesee Tiin;188;;;pale;orange;;male;Iktotch;Iktotchi
Yarael Poof;264;;;white;yellow;;male;Quermia;Quermian
Plo Koon;188;80;;orange;black;22 BBY;male;Dorin;Kel Dor
Mas Amedda;196;;;blue;blue;;male;Champala;Chagrian
Gregar Typho;185;85;black;dark;brown;;male;Naboo;Human
Cordé;157;;brown;light;brown;;female;Naboo;Human
Cliegg Lars;183;;brown;fair;blue;82 BBY;male;Tatooine;Human
Poggle the Lesser;183;80;;green;yellow;;male;Geonosis;Geonosian
Luminara Unduli;170;56.2;black;yellow;blue;58 BBY;female;Mirial;Mirialan
Barriss Offee;166;50;black;yellow;blue;40 BBY;female;Mirial;Mirialan
Dormé;165;;brown;light;brown;;female;Naboo;Human
Dooku;193;80;white;fair;brown;102 BBY;male;Serenno;Human
Bail Prestor Organa;191;;black;tan;brown;67 BBY;male;Alderaan;Human
Jango Fett;183;79;black;tan;brown;66 BBY;male;Concord Dawn;Human
Zam Wesell;168;55;blonde;fair_green_yellow;yellow;;female;Zolan;Clawdite
Dexter Jettster;198;102;;brown;yellow;;male;Ojom;Besalisk
Lama Su;229;88;;grey;black;;male;Kamino;Kaminoan
Taun We;213;;;grey;black;;female;Kamino;Kaminoan
Jocasta Nu;167;;white;fair;blue;;female;Coruscant;Human
Ratts Tyerell;79;15;;grey_blue;;;male;Aleen Minor;Aleena
R4-P17;96;;;silver_red;red_blue;;female;;NA
Wat Tambor;193;48;;green_grey;;;male;Skako;Skakoan
San Hill;191;;;grey;gold;;male;Muunilinst;Muun
Shaak Ti;178;57;;red_blue_white;black;;female;Shili;Togruta
Grievous;216;159;;brown_white;green_yellow;;male;Kalee;Kaleesh
Tarfful;234;136;brown;brown;blue;;male;Kashyyyk;Wookiee
Raymus Antilles;188;79;brown;light;brown;;male;Alderaan;Human
Sly Moore;178;48;;pale;white;;female;Umbara;
Tion Medon;206;80;;grey;black;;male;Utapau;Pau_an
Finn;;;black;dark;dark;;male;;Human
Rey;;;brown;light;hazel;;female;;Human
Poe Dameron;;;brown;light;brown;;male;;Human
BB8;;;;;black;;;;Droid
Captain Phasma;;;;;;;female;;
Padmé Amidala;165;45;brown;light;brown;46 BBY;female;Naboo;Human
